url,stories_id,tweet_finder_embeds,tweet_finder_mentions,goose_embeds,tweet_finder_js_embeds,tweet_finder_js_mentions
https://www.newsnationnow.com/health/coronavirus/india-promises-more-vaccines-as-daily-covid-19-deaths-stay-above-4000/,1932974114,0,2,0,0,2
https://www.ninersnation.com/2021/5/26/22453836/49ers-usc-safety-talanoa-hufanga-fit-craig-naviar-nfl,1945668725,0,0,0,0,0
https://www.wwnytv.com/2021/06/23/gray-wins-republican-primary-jefferson-county-legislator/,1969213145,0,0,0,0,0
https://www.thehindu.com/sport/cricket/bangladesh-vs-sri-lanka-impressive-debut-by-jayawickrama/article34459634.ece,1922319035,0,0,0,0,0
https://www.news18.com/news/football/euro-2020-schedule-complete-live-streaming-full-fixtures-groups-teams-match-venues-timings-india-sonyliv-3803375.html,1958069373,0,0,0,0,0
https://ottawacitizen.com/news/local-news/opp-searching-for-missing-man-eight-year-old-boy-who-set-out-on-atv-near-kaladar,1984571951,0,0,0,0,0
http://news.sky.com/story/covid-19-local-lockdowns-and-delay-to-next-step-of-roadmap-cannot-be-ruled-out-minister-warns-12309673,1937844684,0,0,0,0,0
https://www.nytimes.com/2021/05/31/world/europe/turkey-kenya-gulen.html,1946709749,0,0,0,0,0
https://westcontracostanews.com/stories/600310388-nancy-sweatt-donates-255-to-gregory-gerard-raths-campaign-in-2020,1980759957,0,0,0,0,0
https://www.baytoday.ca/world-news/trumps-historic-2nd-trial-opens-first-of-former-president-3367036,1847323828,0,0,0,0,0
http://feeds.bizjournals.com/~r/industry_21/~3/99NxtUQwGlc/luxury-townhouses-in-westshore.html,1941681702,0,0,0,0,0
https://dominicantoday.com/dr/local/2021/05/15/plan-disarmament-of-the-population-will-begin-tomorrow-in-the-country/,1932109610,0,0,0,0,0
https://www.maritime-executive.com/article/american-professor-leads-kenya-s-legal-team-in-somali-boundary-case,1869094689,1,0,1,1,0
https://www.investmentwatchblog.com/see-how-the-rich-lose-money-and-now-want-to-change-the-rules-so-they-can-never-lose/,1865281084,0,0,0,0,0
https://www.firstpost.com/sports/premier-league-manchester-city-manager-pep-guardiola-says-sergio-aguero-close-to-a-deal-with-barcelona-9650111.html,1940370543,0,0,0,0,0
https://www.todayonline.com/content/tagreuterscom2021newsmllynxmpeh0j0ji,1828868214,0,0,0,0,0
https://www.bclocalnews.com/news/two-williams-lake-elementary-schools-added-to-growing-list-of-confirmed-covid-19-exposures/,1827713623,0,0,0,0,0
https://www.heraldsun.com.au/news/queensland/toowoomba-grammar-school-teacher-meredith-rawlings-denies-sexual-relationship-with-nicholas-brockhurst/news-story/ccdb72194a2627afdbf6934060538a6e,1940256380,0,0,0,0,0
https://www.middletownpress.com/shoreline/article/Titanic-founder-remains-in-heat-of-the-16181353.php,1933201452,0,0,0,0,0
https://www.examiner-enterprise.com/story/news/2021/03/07/film-and-tv-industry-bringing-millions-dollars-and-thousands-jobs-oklahoma/4621794001/,1872829422,0,0,0,0,0
http://feeds.chicagotribune.com/~r/chicagotribune/breakingnews/~3/h7ztgBBJTGU/ct-prem-covid-19-homeless-shelters-hotels-20210419-3ihrct3rdvg65epnod6c2s5eru-story.html,1905859285,0,0,0,0,0
https://www.dailyrecord.co.uk/news/scottish-news/man-stabbed-glasgow-street-cops-24081942,1933747062,0,0,0,0,0
https://www.sentinel-standard.com/ZZ/news/20210126/covid-19-variant-brings-new-dimension-to-europes-pandemic?rssfeed=true,1834271381,0,0,0,0,0
https://www.mysanantonio.com/sports/high-school/article/Friday-s-area-softball-results-16005275.php,1871403770,0,0,0,0,0
https://365project.org/tdaug80/365/2021-07-26,2003942200,0,0,0,0,0
https://www.wkbn.com/news/national-world/trump-supporters-counter-protesters-clash-in-san-diego/,1819753289,0,1,0,0,1
http://feeds.bizjournals.com/~r/industry_2/~3/O-7D9UVNti8/chase-bank-plans-for-upstate-new-york-in-2021.html,1826669720,0,0,0,0,0
https://sputniknews.com/us/202101191081808835-large-moving-trucks-spotted-at-mar-a-lago-as-trump-set-to-release-farewell-message-before-departure/,1827640221,4,0,4,4,0
https://www.slideshare.net/AvishaiSharon/personalization-at-scale-feb-2021,1841626687,0,0,0,0,0
http://rssfeeds.azcentral.com/~/653849002/0/phoenix/local~Arizonans-get-COVID-vaccines-in-exchange-for-free-marijuana-joints-and-edibles/,1949571703,0,0,0,0,0
https://www.scmp.com/news/china/article/3118177/rescuers-make-contact-12-trapped-underground-over-week-after-chinese,1827091486,0,0,0,0,0
https://www.dailyrepublic.com/all-dr-news/solano-news/fairfield/photo-crash-involves-fairfield-pd-vehicle-private-vehicle/,1818315950,0,0,0,0,0
https://www.nytimes.com/2021/03/19/realestate/a-home-away-from-the-virus-however-you-can-find-it.html,1891520309,0,0,0,0,0
https://timesofmalta.com/articles/view/the-air-raid-that-devastated-sliema.857875,1878866794,0,0,0,0,0
https://verse.objektivizam.org/sony-theatre-toronto-seating-chart/,1874243655,0,0,0,0,0
https://www.durhamregion.com/news-story/10353422-second-covid-19-outbreak-declared-at-port-perry-retirement-home/,1882232533,0,0,0,0,0
http://www.bbc.co.uk/sport/rugby-union/57656767,1979501677,0,0,0,0,0
https://daval.ciai-fondazione.org/nauset-marsh-tide-chart/,1892549633,0,0,0,0,0
https://datnight.org/gas-price-chart-10-years/,1813083154,0,0,0,0,0
http://vaporplanetoflawton.ttblogs.com/2425343/the-canna-company-cbd-oils-options,1831794938,0,0,0,0,0
https://www.kron4.com/news/bay-area/how-san-francisco-is-committing-to-mental-health-and-substance-abuse-services/,2002153198,0,0,0,0,0
https://fox2now.com/news/missouri/st-louis-county-cooling-center-opens-today/,1981105361,0,0,0,0,0
https://muscatinejournal.com/news/world/north-korean-leader-kim-jong-un-has-threatened-to-expand-his-nuclear-arsenal-in-response/article_f165d840-f1e2-54c7-a5fa-72ce51559cba.html,1818793042,0,0,0,0,0
https://www.freepressjournal.in/india/i-still-standwithfarmers-as-protest-enters-70th-day-greta-thunberg-meena-harris-and-others-reiterate-support,1843060324,5,4,5,5,2
https://www.rnz.co.nz/national/programmes/lately/audio/2018805934/martinborough-ratepayers-walkout-over-unexpected-rates-hike,2003297570,0,0,0,0,0
http://petra.gov.jo/Include/InnerPage.jsp?ID=31947&lang=en&name=en_news,1836506260,0,0,0,0,0
https://www.heraldsun.com.au/leader/inner-south/sport/cricket-southern-bayside-hampton-signs-wicketkeeperbatsman-jarrod-munday/news-story/828f2044d1eacc0cf7869e8242e9c82d,1982791113,0,0,0,0,0
https://www.globalatlanta.com/how-georgias-first-eco-industrial-park-became-a-magnet-for-japanese-investment/,1852421430,0,0,0,0,0
https://www.newspostleader.co.uk/must-read/will-you-be-joining-the-worlds-biggest-run-ever-3228985,1924505800,0,0,0,0,0
https://kamil.lewisburgdistrictumc.org/noaa-charts-on-google-earth/,1816948330,0,0,0,0,0
http://www.abc.net.au/news/2021-03-07/covid-19-direct-impact-affectd-willingness-to-get-vaccinated/13203114,1872123563,0,0,0,0,0
https://manilastandard.net/gallery/-news-in-photos/344344/ictsi-unit-s-milestone.html,1822662528,0,0,0,0,0
https://www.click2houston.com/entertainment/2021/02/17/cnn-shifting-daytime-weekend-schedule-after-baldwin-exit/,1855327117,0,0,0,0,0
http://rssfeeds.usatoday.com/~/647379840/0/mmajunkie~Ciryl-Gane-accepts-dangerous-Derrick-Lewis-callout-targets-summer-return,1885769328,0,0,0,0,0
https://www.latestnigeriannews.com/p/674952/you-lack-good-conscience-wike-berates-defectors-from-pdp.html,1976465812,0,0,0,0,0
https://www.abc.net.au/news/2021-05-17/local-oncology-equipment-fundraiser-highlights-health-care-gap/100142832,1933162707,0,0,0,0,0
https://www.langleyadvancetimes.com/sports/false-positive-covid-19-test-behind-vancouver-canucks-cancelling-training-camp/,1821028898,0,0,0,0,0
https://www.newshub.co.nz/home/politics/2021/05/tens-of-millions-of-dollars-spent-on-auckland-light-rail-despite-no-shovels-in-the-ground.html,1934974915,0,0,0,0,0
http://rssfeeds.usatoday.com/~/655318596/0/usatodaycomsports-topstories~Vanessa-Bryant-settles-wrongful-death-lawsuit-vs-helicopter-company-pilots-estate/,1969208050,0,0,0,0,0
https://www.manilatimes.net/2021/07/14/sports/us-falls-again-this-time-to-australia/1806916,1993421714,0,0,0,0,0
https://norwaytoday.info/news/lysbakken-says-no-to-priority-corona-vaccines-for-norwegian-mps/,1945304026,0,0,0,0,0
https://globalnews.ca/news/8005549/montreal-north-fatal-shooting-12th-homicide-2021/,1982248937,0,0,0,0,0
https://www.nbcphiladelphia.com/news/local/3-teens-among-12-shot-in-philly-saturday-into-sunday/2861441/,1977259078,0,0,0,0,0
https://riremingtonjt.blogdomago.com/4484569/the-smart-trick-of-new-advertising-agency-that-no-one-is-discussing,1953587433,0,0,0,0,0
https://www.escape.com.au/destinations/australia/how-to-borrow-a-motorhome-for-5-a-day/news-story/0d0c7583abe1fa41bab97abc41439665,1953041404,0,0,0,0,0
https://thewest.com.au/business/public-companies/lefroy-looks-to-replicate-60m-copper-gold-hit-near-kambalda-c-2389774,1882950749,0,0,0,0,0
https://www.salon.com/2021/01/11/a-tale-of-two-americas-before-trumps-deadly-coup-georgia-voters-changed-the-country/,1820699571,0,0,0,0,0
https://www.businesstoday.in/current/economy-politics/covid-19-vaccination-day-3-further-dip-in-turnout-just-8-people-get-vaccinated-at-aiims/story/428321.html,1827630133,0,0,0,0,0
https://sports.yahoo.com/fantasy-basketball-trade-analyzer-is-now-the-time-to-make-a-move-for-kelly-oubre-jr-214038762.html?src=rss,1829438124,0,0,0,0,0
https://www.voanews.com/south-central-asia/us-un-officials-hail-uzbekistans-repatriation-families,1936342282,0,0,0,0,0
https://www.thesun.co.uk/tv/13886480/this-morning-alison-hammond-justin-timberlake-hilarious-interview/,1837536890,2,1,2,2,0
http://feeds.mashable.com/~r/Mashable/~3/j9taoin1ZCw/,1882558412,0,0,0,0,0
https://decider.com/2021/03/03/south-park-vaccination-special-teaser/,1869058669,0,0,0,0,0
https://economictimes.indiatimes.com/news/economy/policy/brics-nations-keen-on-multilateral-social-security-framework/articleshow/82600316.cms,1929901968,0,0,0,0,0
https://www.dailytelegraph.com.au/news/world/harris-urged-to-step-down-from-her-role-as-bidens-border-czar/video/c0e875518ad0802203359771a58ed08b,1930948821,0,0,0,0,0
https://www.mercurynews.com/2021/04/14/audit-oaklands-12-6m-homeless-encampment-response-lacked-strategy-direction/,1902896283,0,0,0,0,0
https://segeorgianews.com/stories/574884075-week-of-january-17-566-people-age-85-and-older-are-estimated-to-have-died-in-georgia,1871601804,0,0,0,0,0
https://www.newkerala.com/news/2021/82563.htm,1962051348,0,0,0,0,0
https://www.dailytelegraph.com.au/news/breaking-news/whats-happening-in-myanmar-six-months-after-the-coup/news-story/5525377cf68d8d0aeca4f4573a523936,2006869667,0,0,0,0,0
https://www.radionigeria.gov.ng/2021/03/30/man-drags-igp-to-judicial-panel-over-land-dispute/,1892692594,0,0,0,0,0
https://www.mccourier.com/adult-vaccines-market-industry-trends-evaluation-leading-players-updates-and-analysis-astrazeneca-bharat-biotech-johnson-johnson-merck-and-co/,1825172747,0,0,0,0,0
https://www.wkbn.com/news/local-news/hubbard-police-looking-for-those-caught-vandalizing-mailboxes/,1935368752,0,0,0,0,0
https://www.channelnewsasia.com/news/commentary/australia-floods-bushfire-climate-crisis-disaster-14497038,1889566463,0,0,0,0,0
http://www.straitstimes.com/world/middle-east/blinken-discusses-gaza-in-calls-with-qatari-egyptian-saudi-foreign-ministers,1933172950,0,0,0,0,0
https://www.newsweek.com/white-house-rose-garden-pictures-1961-2021-1604230,1973471260,0,0,0,0,0
